Formula,Luminosity (photons/MeV)
La2Hf1.96Ti0.04O7,1.625
La0.9995Ce0.0005B3O6,0.9625
La0.95Ce0.05Br2.25I0.75,5.625
La0.95Ce0.05Br1.5I1.5,7.25
La0.95Ce0.05Br0.75I2.25,2.75
La0.99Pr0.01Br2,9.3125
La0.995Ce0.005Br3,7.625
La0.95Ce0.05Br3,9.125
La0.9Ce0.1Br3,9.25
La0.998Ce0.002Br3,7
LaCeF6,0.5625
LaCl3,4.25
La0.9Ce0.1Cl3,6.125
La0.95Ce0.05Cl3,6
La0.9Ce0.1F3,0.275
La0.9997Nd0.0003F3:,0.25
La0.894Nd0.106F3:,0.03375
La0.9995Ce0.0005MgB5O10:,0.1625
LaNb5O14,0.09375
LaNbO4,1.375
La0.99Ce0.1SCl,0.08125
La0.99Ce0.01ScO3,0.1125
Li2NaYBr6:,0.975
Li2NaY0.99Ce0.01Br6,1.55
Li3TaO4,3.75
LiBaF3,0.2
LiCa2I5,11.25
LiCa0.995Ce0.05PO4,0.7375
LiGd0.99Ce0.01(PO3)4,0.325
LiGdCl4,4.5
LiGd0.8Ce0.2Cl4,8.075
LiInSe2,0.55
LiSr2Br5,4
LiSr2I5,7.5
Lu1.926Gd0.074SiO5,2.5
Lu0.686Ce0.014Gd0.3I3,9.8
Lu0.294Ce0.006Y0.7I3,8.5125
Lu1.995Ce0.005Si2O7,1.2
Lu1.9996Ce0.0004SiO5:,2.775
Lu1.996Ce0.002Ca0.002SiO5,4.85
Lu2.948Pr0.052Al5O12,2.125
Lu2.925Pr0.075Al5O12,2.5
Lu2.97Pr0.03Al5O12,1.55
Lu0.99895Ce0.00105AlO3,1.425
Lu0.95Ce0.05BO3,1.5
Lu0.99Pr0.01BO3,0.9125
Lu0.9924Ce0.0076Br3,3.25
Lu0.9955Ce0.0045Cl3,0.825
Lu0.95Ce0.05I3,12.25
Lu0.98Ce0.02I3,14.375
Lu0.995Ce0.005OBr,0.875
Lu0.995Ce0.005OCl,0.6875
Lu0.99Ce0.01OI,0.0875
MgSr1.96Eu0.04Si2O7,0.5
Na2Gd1.96Ce0.04B2O7,0.75
NaBa0.995Eu0.005PO4,2.5
NaGd0.975Ce0.025(PO3)4,2.625
NaGd0.99Ce0.01(PO3)4,1.3875
NaGdCl4,0.3
NaGd0.8Ce0.2Cl4,4.925
Na0.996Tl0.001Eu0.001Ca0.002I,6.5
NaI,10
NaLa0.95Ce0.05SiO4,0.625
NaLu0.995Ce0.005P2O7,0.75
PbCl2,0.02875
PbCO3,0.095
PbFCl,0.2125
PbI2,5
PbSO4,1.25
PbWO4,0.0375
Pb0.99Pr0.01WO4,0.03125
Pr0.8Ce0.2Br3,2.625
Rb2CeBr5,4.25
Rb2LiCeBr6,4.125
Rb2LiCeCl6,2.8875
Rb2LiLa0.99Ce0.01Br6,4.125
Rb2LiY0.995Ce0.005Br6,2.875
Rb2LiY0.995Ce0.005I6,1.375
RbF,0.2125
RbGd1.804Ce0.196Br7,7
RbGd1.9Ce0.1Br7,6.875
RbLu0.995Ce0.005P2O7,0.1625
RbY0.995Ce0.005P2O7,0.875
Sc2O3,0.9625
Sr3.75Ce1.25(PO4)3F,0.0425
Sr0.99Ce0.01Al2O4,0.4875
Sr0.95Eu0.05BrI,5.875
Sr0.95Eu0.05ClI,8.75
SrI2,4.75
Sr0.95Eu0.05I2,15
Sr0.94Eu0.06I2,14.375
Sr0.975Eu0.025I2,13
Sr0.995Yb0.005I2,4.8
Tl2GdCl5,6.625
Tl2HfCl6,3.025
Tl2La0.997Ce0.03Cl5,9.5
Tl2LiY0.99Ce0.01Cl6,3.8125
Tl2LiY0.97Ce0.03Cl6,3.25
Tl2ZrCl6,6.35
TlCaCl3,3.825
TlSr2Br5,4.7
TlSr2I5,8.75
Y2O3,1.935
Y1.998Ce0.002SiO5,2.925
Y2.9925Pr0.0075Al5O12:,2
YBa3B9O18,0.175
Y0.99Ce0.01Br3,2.5
Y0.99Ce0.01Cl3,1.0875
YGd1.98Ce0.02Ga3Al2O12,5.5
Y0.98Ce0.02I3,12.325
Y0.99Ce0.01I,0.4375
Y0.99Ce0.01OI,0.625
ZnWO4,1.1625
